,age,gender,occupation,line_of_work,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,Unnamed: 19,time_bp.1,travel+work
0,19-25,Male,Student in College,,7,5,0.5,3,3,0.0,0.0,0.5,1.0,-0.5,-0.5,100,1,Complete Physical Attendance,Yes,,7,
1,12-18,Male,Student in School,,7,11,0.5,4,2,-0.5,0.5,-1.0,1.0,1.0,1.0,1111,1110,Complete Physical Attendance,No,,7,
2,19-25,Male,Student in College,,7,7,1.5,2,2,1.0,0.0,0.5,0.5,0.5,0.5,1100,111,Complete Physical Attendance,Yes,,7,
3,19-25,Male,Student in College,,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,Complete Physical Attendance,Yes,,7,
4,19-25,Female,Student in College,,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,Complete Physical Attendance,Yes,,7,
5,19-25,Male,Student in College,,5,7,0.5,4,4,-1.0,-1.0,0.0,-0.5,0.0,0.0,110,1100,Complete Physical Attendance,No,,5,
6,19-25,Male,Student in College,,5,4,0.5,1,3,0.5,0.5,1.0,0.5,1.0,1.0,1100,1101,Work/study from home,Yes,,5,
7,19-25,Male,Student in College,,7,9,0.5,3,2,0.0,-0.5,-0.5,-1.0,-0.5,0.0,1000,1000,Complete Physical Attendance,Yes,,7,
8,19-25,Male,Student in College,,5,9,0.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1010,100,Work/study from home,Yes,,5,
9,19-25,Male,Student in College,,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,Work/study from home,Yes,,7,
10,19-25,Male,Student in College,,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,Complete Physical Attendance,Maybe,,7,
11,19-25,Male,Student in College,,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,Complete Physical Attendance,No,,5,
12,19-25,Male,Student in College,,7,11,0.5,5,4,0.0,-1.0,1.0,-0.5,-1.0,-1.0,110,1100,Complete Physical Attendance,Yes,,7,
13,19-25,Female,Student in College,,7,7,0.5,2,1,-0.5,0.0,0.5,1.0,0.5,1.0,1110,1100,Complete Physical Attendance,Maybe,,7,
14,33-40,Male,Working Professional,Teaching,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,Complete Physical Attendance,No,,9,
15,19-25,Male,Student in College,,11,5,0.5,5,2,0.0,0.0,1.0,1.0,0.5,1.0,1110,1000,Work/study from home,Yes,,11,
16,33-40,Male,Working Professional,Teaching,7,5,0.5,2,3,0.0,-0.5,0.5,0.5,-0.5,0.5,110,1001,Complete Physical Attendance,Maybe,,7,
17,19-25,Female,Student in College,,7,9,0.5,5,3,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,10,1000,Complete Physical Attendance,Maybe,,7,
18,19-25,Male,Student in College,,5,4,1.5,2,4,0.0,-0.5,-1.0,0.0,-0.5,-0.5,100,100,Complete Physical Attendance,Yes,,5,
19,19-25,Female,Student in College,,11,9,0.5,2,3,-0.5,-0.5,-0.5,1.0,0.0,0.0,100,1111,Complete Physical Attendance,Yes,,11,
20,19-25,Male,Student in College,,7,9,1.5,4,5,0.5,-0.5,0.5,-0.5,-1.0,-0.5,10,1011,Complete Physical Attendance,Maybe,,7,
21,19-25,Female,Student in College,,7,5,0.5,3,4,0.5,0.5,0.5,1.0,0.5,0.0,1000,1110,Complete Physical Attendance,Maybe,,7,
22,19-25,Male,Working Professional,Engineering,7,9,1.5,1,2,0.0,-1.0,0.5,0.5,0.0,0.0,1000,1101,Complete Physical Attendance,Yes,,7,
23,19-25,Female,Student in College,,9,7,0.5,5,3,0.5,0.5,1.0,1.0,1.0,0.5,100,1,Work/study from home,Yes,,9,
24,19-25,Male,Student in College,,9,4,2.5,2,4,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,9,
25,19-25,Male,Student in College,,7,9,0.5,4,4,-0.5,-0.5,0.5,0.5,0.0,-0.5,1001,1001,Complete Physical Attendance,No,,7,
26,19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Work/study from home,Yes,,9,
27,19-25,Male,Student in College,,7,5,0.5,3,4,0.5,-0.5,0.0,0.0,-0.5,0.0,1100,1111,Complete Physical Attendance,Maybe,,7,
28,19-25,Male,Student in College,,7,4,1.5,4,1,0.5,0.5,0.5,0.5,0.5,0.5,1111,1111,Complete Physical Attendance,Maybe,,7,
29,19-25,Female,Student in College,,7,4,1.5,4,3,0.0,-0.5,0.5,0.0,0.5,0.0,10,1111,Complete Physical Attendance,Maybe,,7,
30,19-25,Male,Student in College,,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Work/study from home,Yes,,9,
31,19-25,Male,Student in College,,11,4,0.5,5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1000,Complete Physical Attendance,Maybe,,11,
32,19-25,Female,Student in College,,7,7,0.5,3,3,-0.5,0.0,0.5,0.5,-0.5,0.5,1000,1101,Complete Physical Attendance,Maybe,,7,
33,19-25,Female,Student in College,,7,5,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1000,1111,Work/study from home,Yes,,7,
34,19-25,Male,Student in College,,9,5,0.5,3,3,0.5,1.0,-1.0,1.0,0.0,0.0,1,1111,Complete Physical Attendance,Maybe,,9,
35,19-25,Male,Student in College,,9,7,2.5,3,3,0.0,-1.0,1.0,1.0,0.5,0.5,1100,1111,Complete Physical Attendance,Maybe,,9,
36,19-25,Male,Student in College,,7,11,0.5,4,5,0.0,1.0,0.5,-1.0,-1.0,-1.0,1011,1111,Complete Physical Attendance,Maybe,,7,
37,19-25,Male,Student in College,,9,11,1.5,2,1,0.5,1.0,0.5,0.5,0.5,0.5,1110,100,Work/study from home,Yes,,9,
38,19-25,Male,Student in College,,4,4,0.5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1000,100,Complete Physical Attendance,No,,4,
39,19-25,Female,Student in College,,5,4,0.5,4,4,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,10,1001,Complete Physical Attendance,Yes,,5,
40,19-25,Male,Student in College,,9,7,1.5,2,3,-0.5,-1.0,-1.0,0.5,0.0,0.5,1000,1100,Complete Physical Attendance,No,,9,
41,19-25,Female,Student in College,,5,5,0.5,5,4,-0.5,0.0,0.0,0.0,0.0,0.0,100,1011,Complete Physical Attendance,Yes,,5,
42,19-25,Male,Student in College,,4,5,0.5,4,4,0.5,0.5,1.0,0.0,-0.5,0.5,11,1011,Complete Physical Attendance,Yes,,4,
43,19-25,Male,Student in College,,5,7,0.5,3,5,0.5,-0.5,0.0,0.5,0.0,0.0,110,1111,Complete Physical Attendance,Maybe,,5,
44,33-40,Male,Working Professional,Teaching,9,11,0.5,4,3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1000,1010,Complete Physical Attendance,No,,9,
45,60+,Prefer not to say,Entrepreneur,,12,12,3.0,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,10,Complete Physical Attendance,No,,12,
46,19-25,Female,Student in College,,7,9,0.5,4,4,0.5,1.0,0.5,1.0,1.0,1.0,1100,1000,Work/study from home,Maybe,,7,
47,19-25,Male,Student in College,,7,5,0.5,5,4,-1.0,1.0,0.5,0.5,-0.5,0.0,1000,1111,Complete Physical Attendance,Yes,,7,
